ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-10-31,147.7721972815844,37.969474094509124,275.6604760643533,147.7721972815844,147.7721972815844,12.239048654620357,12.239048654620357,12.239048654620357,-5.6245419598484,-5.6245419598484,-5.6245419598484,17.863590614468755,17.863590614468755,17.863590614468755,0.0,0.0,0.0,160.01124593620474
2021-11-01,147.67040486553117,49.718179543967054,288.9360941780489,147.67040486553117,147.67040486553117,21.842084455735105,21.842084455735105,21.842084455735105,2.644528837682105,2.644528837682105,2.644528837682105,19.197555618053,19.197555618053,19.197555618053,0.0,0.0,0.0,169.5124893212663
2021-11-02,147.56861244947794,45.05362262287671,295.30715285006096,147.56861244947794,147.56861244947794,23.368397665940446,23.368397665940446,23.368397665940446,2.8193328075748947,2.8193328075748947,2.8193328075748947,20.549064858365554,20.549064858365554,20.549064858365554,0.0,0.0,0.0,170.9370101154184
2021-11-03,147.46682003342474,50.85687490149808,279.87870546289435,147.46682003342474,147.46682003342474,17.99918247525765,17.99918247525765,17.99918247525765,-3.912587547647906,-3.912587547647906,-3.912587547647906,21.911770022905557,21.911770022905557,21.911770022905557,0.0,0.0,0.0,165.46600250868238
2021-11-04,147.3650276173715,58.95071407576019,302.9888741602812,147.3650276173715,147.3650276173715,27.016560749421004,27.016560749421004,27.016560749421004,3.7381347079922964,3.7381347079922964,3.7381347079922964,23.27842604142871,23.27842604142871,23.27842604142871,0.0,0.0,0.0,174.38158836679253
2021-11-05,147.26323520131828,53.88514396993555,290.7490864928427,147.26323520131828,147.26323520131828,24.028856020399623,24.028856020399623,24.028856020399623,-0.6120553324944317,-0.6120553324944317,-0.6120553324944317,24.640911352894054,24.640911352894054,24.640911352894054,0.0,0.0,0.0,171.2920912217179
2021-11-06,147.16144278526508,53.353413451448304,292.7499936684115,147.16144278526508,147.16144278526508,26.937456155186254,26.937456155186254,26.937456155186254,0.9471884867206241,0.9471884867206241,0.9471884867206241,25.990267668465627,25.990267668465627,25.990267668465627,0.0,0.0,0.0,174.09889894045133
2021-11-07,147.05965036921185,48.738679828681974,289.03619708652536,147.05965036921185,147.05965036921185,21.692221850223557,21.692221850223557,21.692221850223557,-5.624541959860925,-5.624541959860925,-5.624541959860925,27.31676381008448,27.31676381008448,27.31676381008448,0.0,0.0,0.0,168.7518722194354
2021-11-08,146.95785795315862,67.40986298680401,303.21522846168745,146.95785795315862,146.95785795315862,31.254516302208398,31.254516302208398,31.254516302208398,2.644528837704225,2.644528837704225,2.644528837704225,28.609987464504172,28.609987464504172,28.609987464504172,0.0,0.0,0.0,178.21237425536702
2021-11-09,146.85606553710542,56.63169457917001,301.8505598631483,146.85606553710542,146.85606553710542,32.678300491724706,32.678300491724706,32.678300491724706,2.819332807577566,2.819332807577566,2.819332807577566,29.85896768414714,29.85896768414714,29.85896768414714,0.0,0.0,0.0,179.53436602883014
